Book,Chapter,Sub-Topic,DF Topic Refs,DF Topic Names (review)
GCSE Higher,"4 Fractions, ratio and percentages",Fractions,98;117;120;165;166;277,Fractional equivalence using factors and multiples (manual) | Adding and subtracting fractions with any denominator (manual) | Multiplying proper fractions with no simplifying (manual) | Further multiplying proper fractions (including simplification) (manual) | Dividing proper and improper fractions (manual) | Converting from a recurring decimal to a fraction (gap-filled)
GCSE Higher,"4 Fractions, ratio and percentages",Ratios,224;225,"Simplifying ratios and forming ratios from a given context (orphan, 0.13) | Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual)"
GCSE Higher,"4 Fractions, ratio and percentages",Ratio and proportion,225;176,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual) | Multiplicative scaling and numerical proportion relationships (manual)"
GCSE Higher,"4 Fractions, ratio and percentages",Percentages,219;221;223;215;169;170,"Percentage of an amount, using decimal multipliers (manual) | Value after a general percentage change, using decimal multipliers (manual) | Reverse percentage problems using decimal multipliers (manual) | Percentage change (manual) | Fractional increase and decrease (gap-filled) | Fractional original value problems (gap-filled)"
GCSE Higher,"4 Fractions, ratio and percentages","Fractions, decimals and percentages",172;174;175,"Converting between any terminating decimal, fraction and percentage less than 100% (manual) | Converting between terminating decimals, fractions and percentages greater than 100% (manual) | Comparing and ordering fractions, decimal and percentages (0.15)"
GCSE Higher,5 Angles and trigonometry,Angle properties of triangles and quadrilaterals,149;150;151,"Sum of angles in a triangle (manual) | Base angles of an isosceles triangle (manual) | Sum of angles in a quadrilateral (orphan, 0.11)"
GCSE Higher,5 Angles and trigonometry,Interior angles of a polygon,261;262,"Interior and exterior angles of regular and irregular polygons (0.25) | Alternate, corresponding and co-interior angles (0.16)"
GCSE Higher,5 Angles and trigonometry,Exterior angles of a polygon,261,Interior and exterior angles of regular and irregular polygons (0.28)
GCSE Higher,5 Angles and trigonometry,Pythagoras' theorem 1,288;338,Pythagoras' theorem in 2D (excluding surds) (0.24) | Pythagoras' Theorem with surds (0.31)
GCSE Higher,5 Angles and trigonometry,Pythagoras' theorem 2,289;410,Distance between two points given their coordinates (0.27) | Pythagoras' theorem in 3D shapes (0.26)
GCSE Higher,5 Angles and trigonometry,Trigonometry 1,321,Trigonometry to determine side lengths in a right-angled triangle (manual)
GCSE Higher,5 Angles and trigonometry,Trigonometry 2,322;411;412,Trigonometry to determine angles in a right-angled triangle (0.10) | Trigonometry in 3D shapes (right-angled only) (gap-filled) | Exact trigonometric values (gap-filled)
GCSE Higher,6 Graphs,Linear graphs,267;269;270;271;272;268,Plotting a straight line from a table of values (manual) | x and y intercepts of a line (manual) | Gradient of a line (manual) | Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax+by=c) (manual) | Determining the equation of a straight line in slope-intercept or standard form (manual) | Relationship between a line and its equation (manual)
GCSE Higher,6 Graphs,More linear graphs,273;274;445,Drawing a line from its equation (manual) | Equations of parallel lines (manual) | Equations of perpendicular lines (gap-filled)
GCSE Higher,6 Graphs,Graphing rates of change,270;461,Gradient of a line (manual) | Estimating the gradient of a curve (manual)
GCSE Higher,6 Graphs,Real-life graphs,332;327;459;460,Real-life linear graphs (0.28) | Constructing and reading distance-time graphs (manual) | Understanding and drawing speed-time (or positive velocity-time) graphs (gap-filled) | Estimating area under a curved graph (gap-filled)
GCSE Higher,6 Graphs,Line segments,265;289;266,Midpoint of two points (manual) | Distance between two points given their coordinates (manual) | Splitting a line segment in a ratio (gap-filled)
GCSE Higher,6 Graphs,Quadratic graphs,366;368,"Plotting quadratic graphs from a table of values (0.21) | Quadratic graphs and their features (orphan, 0.14)"
GCSE Higher,6 Graphs,Cubic and reciprocal graphs,420;422;426;427;159;452,"Plotting simple cubic graphs (manual) | Plotting reciprocal graphs (0.21) | Recognising the shape of basic forms of cubic, reciprocal and exponential graphs based on their equations (0.30) | Recognising the shape of more complex forms of quadratic, cubic, reciprocal and exponential graphs based on their equations (0.31) | Reciprocals (orphan, 0.14) | Graphs of root functions (gap-filled)"
GCSE Higher,6 Graphs,More graphs,423;421;446;447,Plotting exponential graphs (manual) | Using graphs to count solutions and find approximate solutions to equations (manual) | Graphs of circles centred at the origin (gap-filled) | Equation of a tangent to a circle centred at the origin (gap-filled)
GCSE Higher,7 Area and volume,Perimeter and area,138;140;139;184;180;181;183,Area of a rectangle by using the formula (manual) | Area of a triangle (manual) | Area of a parallelogram (manual) | Area of trapeziums (manual) | Perimeter of rectilinear shapes (manual) | Area of composite rectilinear shapes (manual) | Area of kites (gap-filled)
GCSE Higher,7 Area and volume,Units and accuracy,323;187;310;216,Converting between units of area and volume (0.21) | Rounding a number to a given number of significant figures (manual) | Upper and lower bound of rounded values or identifying an error interval (manual) | Percentage error and relative error (gap-filled)
GCSE Higher,7 Area and volume,Prisms,142;231;232,"Properties of prisms and cylinders (0.21) | Volume of a prism (orphan, 0.14) | Surface area of a cuboid and prisms (manual)"
GCSE Higher,7 Area and volume,Circles,141;209;210;317,"Basic terms in relation to circles (manual) | Circumference of a full circle (manual) | Area of a full circle (manual) | Further terms in relation to circles, including chord and segment (manual)"
GCSE Higher,7 Area and volume,Sectors of circles,318;319,Arc length of more general sectors (manual) | Area of more general sectors (0.12)
GCSE Higher,7 Area and volume,Cylinders and spheres,233;234;405;406;407,"Volume of a cylinder (manual) | Surface area of a cylinder (manual) | Volume of a pyramid, cone or sphere (manual) | Surface area of a cone or sphere/hemisphere (manual) | Volume of more complex compound 3D shapes (gap-filled)"
GCSE Higher,7 Area and volume,Pyramids and cones,405;406,"Volume of a pyramid, cone or sphere (manual) | Surface area of a cone or sphere/hemisphere (manual)"
GCSE Higher,8 Transformations and constructions,3D solids,142;146,Properties of prisms and cylinders (manual) | Platonic solids (0.13)
GCSE Higher,8 Transformations and constructions,Reflection and rotation,153;279;281;282,Reflecting a shape on axes using a given mirror line (manual) | Describing a reflection (0.17) | Rotating a shape by a given angle around a given point (manual) | Describing a rotation (0.18)
GCSE Higher,8 Transformations and constructions,Enlargement,294;295;296;297;376;377,Describing an enlargement/dilation for a positive integer scale factor (0.17) | Enlarging/dilating a shape by a given positive integer scale factor (manual) | Describing an enlargement/dilation for a positive fractional scale factor (0.16) | Enlarging/dilating a shape by a positive fractional scale factor (manual) | Enlargement/dilation of shapes by a negative scale factor (manual) | Describing enlargements/dilations for a negative scale factor (manual)
GCSE Higher,8 Transformations and constructions,Transformations and combinations of transformations,378,Combining transformations (manual)
GCSE Higher,8 Transformations and constructions,Bearings and scale drawings,283,Scale drawings including map scales (0.22)
GCSE Higher,8 Transformations and constructions,Constructions 1,284,Constructions with lines and angles (manual)
GCSE Higher,8 Transformations and constructions,Constructions 2,320,Further constructions involving relationships of triangles and circles (0.10)
GCSE Higher,8 Transformations and constructions,Loci,285,Loci (0.22)
GCSE Higher,9 Equations and inequalities,Solving quadratic equations 1,367;418,Solving quadratic equations by factorisation (0.31) | Forming quadratic or non-linear expressions or equations from a given context (excluding probability problems) (gap-filled)
GCSE Higher,9 Equations and inequalities,Solving quadratic equations 2,415;417,Solving quadratic equations by using the quadratic formula (0.42) | Quadratic formula to solve quadratic equations (0.23)
GCSE Higher,9 Equations and inequalities,Completing the square,413;414;416,Completing the square to put an expression in the form (x+a)^2 + b (0.28) | Completing the square to put an expression in the form a(x+b)^2 + c (0.32) | Minimum or maximum point of a quadratic graph by completing the square (0.19)
GCSE Higher,9 Equations and inequalities,Solving simple simultaneous equations,275;276,Solving linear simultaneous equations/systems of equations using graphical methods (0.24) | Solving linear simultaneous equations/systems of equations using elimination or substitution (0.20)
GCSE Higher,9 Equations and inequalities,More simultaneous equations,275;276,Solving linear simultaneous equations/systems of equations using graphical methods (0.28) | Solving linear simultaneous equations/systems of equations using elimination or substitution (0.25)
GCSE Higher,9 Equations and inequalities,Solving linear and quadratic simultaneous equations,275;276;419,Solving linear simultaneous equations/systems of equations using graphical methods (0.33) | Solving linear simultaneous equations/systems of equations using elimination or substitution (0.26) | Solving non-linear simultaneous equations/systems of equations by substitution (0.26)
GCSE Higher,9 Equations and inequalities,Solving linear inequalities,339;340;341;342;456;458,"Solving linear inequalities in one variable (0.29) | Solving linear inequalities with one variable on both sides (0.36) | Solving two-ended linear inequalities and combining inequalities (0.27) | Forming and solving linear inequalities from a given context (0.36) | Inequalities in two variables, including their representation on a plane. (orphan, 0.19) | Solving quadratic inequalities (gap-filled)"
GCSE Higher,10 Probability,Combined events,249,Sample space diagrams (0.13)
GCSE Higher,10 Probability,Mutually exclusive events,250,Probabilities of mutually exclusive events (0.44)
GCSE Higher,10 Probability,Experimental probability,251,"Experimental probabilities, expectation and bias (0.11)"
GCSE Higher,10 Probability,Independent events and tree diagrams,353;354,"Probability of independent and successive independent events (including tree diagrams) (0.35) | Successive dependent events, i.e. sampling without replacement (including tree diagrams) (0.20)"
GCSE Higher,10 Probability,Conditional probability,357;463,Conditional probability (no set notation) (0.45) | Algebraic probability problems involving independent/dependent events (gap-filled)
GCSE Higher,10 Probability,Venn diagrams and set notation,356;357;355;457;242;243,"Probabilities from Venn diagrams of frequencies (using set notation) (0.35) | Conditional probability (no set notation) (0.28) | Probabilities from Venn diagrams of frequencies (no set notation) (0.27) | Set builder notation (0.20) | Construct Venn diagrams (0.20) | Union, intersection and complements of sets, including the universal and empty sets (orphan, 0.19)"
GCSE Higher,11 Multiplicative reasoning,Growth and decay,359,Calculating values after compound percentage changes (manual)
GCSE Higher,11 Multiplicative reasoning,Compound measures,325;328;329;330;331,"Speed calculations for a single journey (manual) | Density (manual) | Pressure (orphan, manual relocation) | Other compound measures (excluding speed, pressure and density) (0.28) | Convert between units for compound measures (0.34)"
GCSE Higher,11 Multiplicative reasoning,More compound measures,326;327;330;331,"Speed calculations for multiple journeys or a journey in stages (manual) | Constructing and reading distance-time graphs (manual) | Other compound measures (excluding speed, pressure and density) (0.28) | Convert between units for compound measures (0.34)"
GCSE Higher,11 Multiplicative reasoning,Ratio and proportion,176;225;227;464;177,"Multiplicative scaling and numerical proportion relationships (0.13) | Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual) | Combining ratios and proportions into a single ratio (manual) | Algebraic techniques for ratio problems (gap-filled) | Exchange rates (gap-filled)"
GCSE Higher,12 Similarity and congruence,Congruence,290;471,"Properties of congruent shapes (manual) | Proving triangle congruence using SSS, SAS, ASA and RHS (0.10)"
GCSE Higher,12 Similarity and congruence,Geometric proof and congruence,471,"Proving triangle congruence using SSS, SAS, ASA and RHS (manual)"
GCSE Higher,12 Similarity and congruence,Similarity,291;292;471,"Properties of similar shapes (manual) | Determine unknown lengths in similar shapes (manual) | Proving triangle congruence using SSS, SAS, ASA and RHS (0.04)"
GCSE Higher,12 Similarity and congruence,More similarity,324;291;292,"Relationship between scale factors of length, area and volume (manual) | Properties of similar shapes (manual) | Determine unknown lengths in similar shapes (manual)"
GCSE Higher,12 Similarity and congruence,Similarity in 3D solids,324,"Relationship between scale factors of length, area and volume (manual)"
GCSE Higher,13 More trigonometry,Accuracy,187;384;385,Rounding a number to a given number of significant figures (manual) | Using lower and upper bounds within calculations to calculate a further lower/upper bound (0.05) | Tolerance (gap-filled)
GCSE Higher,13 More trigonometry,Graph of the sine function,431;434,"Plotting and recognising graphs of trigonometric functions (manual) | Solving simple trigonometric equations, e.g. sin(x) = k, using a graph (gap-filled)"
GCSE Higher,13 More trigonometry,Graph of the cosine function,431,Plotting and recognising graphs of trigonometric functions (manual)
GCSE Higher,13 More trigonometry,The tangent function,431,Plotting and recognising graphs of trigonometric functions (manual)
GCSE Higher,13 More trigonometry,Calculating areas and the sine rule,465;467,Sine rule (Law of Sines) (0.24) | Area of a triangle using two lengths and the angle between them (manual)
GCSE Higher,13 More trigonometry,The cosine rule and 2D trigonometric problems,465;466;469,Sine rule (Law of Sines) (manual) | Cosine rule (Law of Cosines) (0.19) | Bearings problems involving non-right-angled trigonometry (0.15)
GCSE Higher,13 More trigonometry,Solving problems in 3D,470,3D shape problems involving non-right-angled trigonometry (0.09)
GCSE Higher,13 More trigonometry,Transforming trigonometric graphs 1,431;448,Plotting and recognising graphs of trigonometric functions (0.10) | Graph transformations of y = f(x+a) and y = f(x) + a (manual)
GCSE Higher,13 More trigonometry,Transforming trigonometric graphs 2,450;451,Graph transformations of y = f(ax) and y = af(x) (dilations) (manual) | Combinations of graph transformations (manual)
GCSE Higher,14 Further statistics,Sampling,349;345;350;348,Non-random sampling (0.20) | Populations and censuses versus sampling (0.18) | Stratified sampling (0.17) | Simple random sampling (0.17)
GCSE Higher,14 Further statistics,Cumulative frequency,398,Cumulative frequency graphs (0.35)
GCSE Higher,14 Further statistics,Box plots,399,Box plots / box and whisker diagrams (excluding outliers) (0.44)
GCSE Higher,14 Further statistics,Drawing histograms,314;401,Histograms of equal class width (0.11) | Histograms and frequency density (unequal class widths) (manual)
GCSE Higher,14 Further statistics,Interpreting histograms,314;401,Histograms of equal class width (0.11) | Histograms and frequency density (unequal class widths) (manual)
GCSE Higher,14 Further statistics,Comparing and describing populations,402;403,"Understanding the shape of data, including skewness (manual) | Comparing data sets using different representations (manual)"
GCSE Higher,15 Equations and graphs,Solving simultaneous equations graphically,275,Solving linear simultaneous equations/systems of equations using graphical methods (0.23)
GCSE Higher,15 Equations and graphs,Representing inequalities graphically,456,"Inequalities in two variables, including their representation on a plane. (manual)"
GCSE Higher,15 Equations and graphs,Graphs of quadratic functions,366;368,Plotting quadratic graphs from a table of values (manual) | Quadratic graphs and their features (manual)
GCSE Higher,15 Equations and graphs,Solving quadratic equations graphically,421,Using graphs to count solutions and find approximate solutions to equations (manual)
GCSE Higher,15 Equations and graphs,Graphs of cubic functions,420,Plotting simple cubic graphs (manual)
GCSE Higher,16 Circle theorems,Radii and chords,317;442,"Further terms in relation to circles, including chord and segment (0.10) | Circle theorems (manual)"
GCSE Higher,16 Circle theorems,Tangents,442,Circle theorems (0.13)
GCSE Higher,16 Circle theorems,Angles in circles 1,442,Circle theorems (manual)
GCSE Higher,16 Circle theorems,Angles in circles 2,442,Circle theorems (manual)
GCSE Higher,16 Circle theorems,Applying circle theorems,442;443;444,"Circle theorems (0.19) | Intersecting chord and intersecting secant theorems (orphan, 0.11) | Proofs of circle theorems (gap-filled)"
GCSE Higher,17 More algebra,Rearranging formulae,260;391,"Changing the subject of a formula where the subject appears once only, including brackets, powers and roots (manual) | Changing the subject of a formula where the subject appears multiple times (manual)"
GCSE Higher,17 More algebra,Algebraic fractions,389;388;390;387;462,"Adding and subtracting algebraic fractions (no factorisation of denominators required) (0.31) | Multiplying and dividing algebraic fractions (0.23) | Adding and subtracting algebraic fractions, requiring prior factorisation of the denominators (0.22) | Simplifying single algebraic fractions by cancelling common factors (0.22) | Solving equations involving fractions that lead to a quadratic equation (0.17)"
GCSE Higher,17 More algebra,Simplifying algebraic fractions,387;389;388;390,"Simplifying single algebraic fractions by cancelling common factors (0.21) | Adding and subtracting algebraic fractions (no factorisation of denominators required) (0.17) | Multiplying and dividing algebraic fractions (0.17) | Adding and subtracting algebraic fractions, requiring prior factorisation of the denominators (0.16)"
GCSE Higher,17 More algebra,More algebraic fractions,389;388;390;387;462,"Adding and subtracting algebraic fractions (no factorisation of denominators required) (0.31) | Multiplying and dividing algebraic fractions (0.23) | Adding and subtracting algebraic fractions, requiring prior factorisation of the denominators (0.22) | Simplifying single algebraic fractions by cancelling common factors (0.22) | Solving equations involving fractions that lead to a quadratic equation (0.17)"
GCSE Higher,17 More algebra,Surds,334;335;336;337;392;393,Simplifying surds (0.17) | Multiplying and dividing surds (0.18) | Adding and subtracting surds (0.18) | Expanding brackets with surds (0.17) | Rationalising the denominator where the denominator consists of a single surd term (manual) | Rationalising the denominator where the denominator consists of a surd and a second term (manual)
GCSE Higher,17 More algebra,Solving algebraic fraction equations,462,Solving equations involving fractions that lead to a quadratic equation (0.16)
GCSE Higher,17 More algebra,Functions,432;435;436;437;438;433,Function notation and calculating outputs or inputs or a function (manual) | Composite functions (excluding exponentials and modulus) (manual) | Inverse functions (excluding exponentials and modulus) (manual) | Domain and range of simple functions (manual) | Properties of functions (0.27) | Graph representation of functions (gap-filled)
GCSE Higher,17 More algebra,Proof,453;454,Testing conjectures and identifying counterexamples (manual) | Algebraic proofs involving integers (manual)
GCSE Higher,18 Vectors and geometric proof,Vectors and vector notation,375;372;373;472,"Describing translations using vector notation (0.30) | Column vector notation (0.29) | Adding, subtracting and scaling column vectors (0.21) | Converting a vector between component form and magnitude and direction form (orphan, 0.11)"
GCSE Higher,18 Vectors and geometric proof,Vector arithmetic,373,"Adding, subtracting and scaling column vectors (manual)"
GCSE Higher,18 Vectors and geometric proof,More vector arithmetic,473,Vectors using variables (manual)
GCSE Higher,18 Vectors and geometric proof,Parallel vectors and collinear points,474,Parallel vectors and straight line proofs using vectors (0.29)
GCSE Higher,18 Vectors and geometric proof,Solving geometric problems,475,Solving vector problems by introduction of a scalar (0.09)
GCSE Higher,19 Proportion and graphs,Direct proportion,176;386,Multiplicative scaling and numerical proportion relationships (0.17) | Algebraic direct and inverse proportion (manual)
GCSE Higher,19 Proportion and graphs,More direct proportion,176;386,Multiplicative scaling and numerical proportion relationships (0.17) | Algebraic direct and inverse proportion (manual)
GCSE Higher,19 Proportion and graphs,Inverse proportion,386,Algebraic direct and inverse proportion (0.17)
GCSE Higher,19 Proportion and graphs,Exponential functions,423;424;425,"Plotting exponential graphs (0.13) | Properties of exponential graphs (orphan, 0.12) | Determining the values of k and a in the exponential function y = ka^x (orphan, 0.10)"
GCSE Higher,19 Proportion and graphs,Non-linear graphs,422;426;427,"Plotting reciprocal graphs (manual) | Recognising the shape of basic forms of cubic, reciprocal and exponential graphs based on their equations (manual) | Recognising the shape of more complex forms of quadratic, cubic, reciprocal and exponential graphs based on their equations (manual)"
GCSE Higher,19 Proportion and graphs,Translating graphs of functions,448,Graph transformations of y = f(x+a) and y = f(x) + a (manual)
GCSE Higher,19 Proportion and graphs,Reflecting and stretching graphs of functions,449;450,Graph transformations of y = f(-x) and y = -f(x) (manual) | Graph transformations of y = f(ax) and y = af(x) (dilations) (manual)
GCSE Foundation,1 Number,Calculations,115,Order of operations (no powers and roots) (0.12)
GCSE Foundation,1 Number,Decimal numbers,71;74;75;122;123;124;125,Compare decimals (manual) | Adding and subtracting decimal numbers (manual) | Rounding a number to a given number of decimal places (manual) | Multiplying a decimal by an integer (manual) | Multiplying decimal numbers (manual) | Dividing a decimal by an integer (manual) | Dividing by decimal numbers (manual)
GCSE Foundation,1 Number,Place value,48;70,"Related number facts with place value (manual) | Multiplying and dividing by 10, 100, 1000, including decimals (manual)"
GCSE Foundation,1 Number,Factors and multiples,52;53;94;95,"Multiples of a number (manual) | Factors of a number (manual) | Common multiples by listing (orphan, 0.15) | Common factors by listing (orphan, 0.13)"
GCSE Foundation,1 Number,"Squares, cubes and roots",88;157,"Power notation and calculate simple powers, e.g. squares, cubes (manual) | Roots and further powers (manual)"
GCSE Foundation,1 Number,Index notation,158,Numerical index laws (basic) (manual)
GCSE Foundation,1 Number,Prime factors,161;164;97,"Prime factorisation of a number (0.45) | Properties of a number based on its prime factorisation (e.g. identify factors, if it is square, trailing zeroes) (0.19) | Prime numbers (orphan, 0.34)"
GCSE Foundation,2 Algebra,Algebraic expressions,190;198,Algebraic terminology (manual) | Forming linear algebraic expressions and formulae from a given context (0.16)
GCSE Foundation,2 Algebra,Simplifying expressions,193,Collecting like terms (manual)
GCSE Foundation,2 Algebra,Substitution,136;196,"Basic substitution with positive integers (limited to addition, subtraction, division and multiplication) (manual) | Further substitution with positive integers (including powers, roots and brackets) (0.11)"
GCSE Foundation,2 Algebra,Formulae,198;197,"Forming linear algebraic expressions and formulae from a given context (manual) | Substitution with decimals, negative integers and fractions (0.18)"
GCSE Foundation,2 Algebra,Expanding brackets,252;299,Expanding a single bracket (manual) | Expanding double brackets (0.23)
GCSE Foundation,2 Algebra,Factorising,253;362,Factorising out a single term (manual) | Factorising quadratic expressions given in the form x^2 + bx + c (0.11)
GCSE Foundation,2 Algebra,Using expressions and formulae,136;197,"Basic substitution with positive integers (limited to addition, subtraction, division and multiplication) (manual) | Substitution with decimals, negative integers and fractions (0.18)"
GCSE Foundation,"3 Graphs, tables and charts",Frequency tables,236;235;312;237;311;313,"Mean from ungrouped frequency tables (0.33) | Reading and interpreting ungrouped frequency tables (0.30) | Estimating the mean from grouped frequency tables (0.28) | Median, mode and range from ungrouped frequency tables (0.28) | Forming a grouped frequency table (using inequality notation) (0.17) | Modal and median class interval and estimate of the range from a grouped frequency table (orphan, 0.14)"
GCSE Foundation,"3 Graphs, tables and charts",Two-way tables,238,Two-way tables (0.46)
GCSE Foundation,"3 Graphs, tables and charts",Representing data,65;31,Bar charts and vertical line charts (manual) | Pictograms (manual)
GCSE Foundation,"3 Graphs, tables and charts",Time series,400,Time series and moving averages (0.28)
GCSE Foundation,"3 Graphs, tables and charts",Stem and leaf diagrams,240;396,Stem-and-leaf diagrams (0.57) | Quartiles from discrete data (0.18)
GCSE Foundation,"3 Graphs, tables and charts",Pie charts,246;131,Pie charts with any proportion (0.28) | Pie charts with simple fractions and percentages (0.20)
GCSE Foundation,"3 Graphs, tables and charts",Scatter graphs,244,Scatter graphs/scatterplots and correlation (0.25)
GCSE Foundation,"3 Graphs, tables and charts",Line of best fit,245;332,Line of best fit (0.57) | Real-life linear graphs (0.28)
GCSE Foundation,4 Fractions and percentages,Working with fractions,54;98,Recognising and using fractions with denominators to 12 (manual) | Fractional equivalence using factors and multiples (manual)
GCSE Foundation,4 Fractions and percentages,Operations with fractions,117;120,Adding and subtracting fractions with any denominator (manual) | Multiplying proper fractions with no simplifying (manual)
GCSE Foundation,4 Fractions and percentages,Multiplying fractions,120;165;167;119,"Multiplying proper fractions with no simplifying (manual) | Further multiplying proper fractions (including simplification) (orphan, 0.15) | Multiplying fractions involving a mixed number (0.35) | Multiplying fractions and mixed numbers by an integer (0.25)"
GCSE Foundation,4 Fractions and percentages,Dividing fractions,168;121;166,Dividing fractions involving a mixed number (0.25) | Dividing fractions by integers (0.25) | Dividing proper and improper fractions (0.20)
GCSE Foundation,4 Fractions and percentages,Fractions and decimals,174;175;172,"Converting between terminating decimals, fractions and percentages greater than 100% (0.20) | Comparing and ordering fractions, decimal and percentages (0.18) | Converting between any terminating decimal, fraction and percentage less than 100% (0.18)"
GCSE Foundation,4 Fractions and percentages,Fractions and percentages,172;173,"Converting between any terminating decimal, fraction and percentage less than 100% (manual) | Converting from a fraction to a recurring decimal or a percentage (orphan, 0.13)"
GCSE Foundation,4 Fractions and percentages,Calculating percentages 1,130,"Calculating a simple percentage of an amount, using chunking (manual)"
GCSE Foundation,4 Fractions and percentages,Calculating percentages 2,218;219;217;222,"Percentage of an amount, by multiplying by an equivalent fraction (manual) | Percentage of an amount, using decimal multipliers (manual) | Percentage of an amount, greater than 100%, by chunking (gap-filled) | Reverse percentage problems using chunking (gap-filled)"
GCSE Foundation,"5 Equations, inequalities and sequences",Solving equations 1,199,Solving linear equations where the variable appears on one side of the equation only (manual)
GCSE Foundation,"5 Equations, inequalities and sequences",Solving equations 2,257,Solving linear equations where the variable appears on both sides of the equation (manual)
GCSE Foundation,"5 Equations, inequalities and sequences",Solving equations with brackets,254,"Solving linear equations where the variable appears on one side of the equation only, including brackets (0.20)"
GCSE Foundation,"5 Equations, inequalities and sequences",Introducing inequalities,309;339,Understanding algebraic statements of inequality (manual) | Solving linear inequalities in one variable (manual)
GCSE Foundation,"5 Equations, inequalities and sequences",More inequalities,341;342,Solving two-ended linear inequalities and combining inequalities (manual) | Forming and solving linear inequalities from a given context (manual)
GCSE Foundation,"5 Equations, inequalities and sequences",Using formulae,198;197,"Forming linear algebraic expressions and formulae from a given context (manual) | Substitution with decimals, negative integers and fractions (manual)"
GCSE Foundation,"5 Equations, inequalities and sequences",Generating sequences,203;204,"Describing, generating and continuing sequences using term-to-term rules (manual) | Generating terms of a sequence given a position-to-term rule (0.08)"
GCSE Foundation,"5 Equations, inequalities and sequences",Using the nth term of a sequence,203;204;205,"Describing, generating and continuing sequences using term-to-term rules (orphan, 0.19) | Generating terms of a sequence given a position-to-term rule (0.42) | nth term formula for arithmetic sequences (no standard formulae) (0.29)"
GCSE Foundation,6 Angles,Properties of shapes,77;78,Types of quadrilaterals and triangles (manual) | Properties of polygons (manual)
GCSE Foundation,6 Angles,Angles in parallel lines,262;263,"Alternate, corresponding and co-interior angles (0.33) | Algebraic expressions and equations using angle facts (0.17)"
GCSE Foundation,6 Angles,Angles in triangles,149;150,Sum of angles in a triangle (manual) | Base angles of an isosceles triangle (manual)
GCSE Foundation,6 Angles,Exterior and interior angles,261;262,"Interior and exterior angles of regular and irregular polygons (0.23) | Alternate, corresponding and co-interior angles (0.17)"
GCSE Foundation,6 Angles,More exterior and interior angles,261;262,"Interior and exterior angles of regular and irregular polygons (0.23) | Alternate, corresponding and co-interior angles (0.17)"
GCSE Foundation,6 Angles,Geometrical problems,261;262;263;151,"Interior and exterior angles of regular and irregular polygons (manual) | Alternate, corresponding and co-interior angles (manual) | Algebraic expressions and equations using angle facts (manual) | Sum of angles in a quadrilateral (manual)"
GCSE Foundation,7 Averages and range,Mean and range,132,Mean as an average (0.12)
GCSE Foundation,7 Averages and range,"Mode, median and range",207;237,"Mode, median, range from listed data (0.41) | Median, mode and range from ungrouped frequency tables (0.26)"
GCSE Foundation,7 Averages and range,Types of average,132;207;208,"Mean as an average (0.10) | Mode, median, range from listed data (manual) | Combining means or dealing with changes to a mean (gap-filled)"
GCSE Foundation,7 Averages and range,Estimating the mean,312,Estimating the mean from grouped frequency tables (0.30)
GCSE Foundation,7 Averages and range,Sampling,349;345;350;348,Non-random sampling (0.19) | Populations and censuses versus sampling (0.17) | Stratified sampling (0.16) | Simple random sampling (0.16)
GCSE Foundation,"8 Perimeter, area and volume 1","Rectangles, parallelograms and triangles",138;139;140,Area of a rectangle by using the formula (manual) | Area of a parallelogram (manual) | Area of a triangle (manual)
GCSE Foundation,"8 Perimeter, area and volume 1",Trapezia and changing units,184;323,Area of trapeziums (manual) | Converting between units of area and volume (0.15)
GCSE Foundation,"8 Perimeter, area and volume 1",Area of compound shapes,181;182;212,Area of composite rectilinear shapes (0.21) | Area of composite shapes using rectangles and triangles (manual) | Perimeter of compound shapes that includes curved edges (0.28)
GCSE Foundation,"8 Perimeter, area and volume 1",Surface area of 3D solids,232;234;406;408,Surface area of a cuboid and prisms (0.22) | Surface area of a cylinder (0.21) | Surface area of a cone or sphere/hemisphere (0.19) | Surface area of more complex compound 3D shapes (0.22)
GCSE Foundation,"8 Perimeter, area and volume 1",Volume of prisms,145;231,"Volume of a cube or cuboid (orphan, 0.12) | Volume of a prism (manual)"
GCSE Foundation,"8 Perimeter, area and volume 1",More volume and surface area,231;233;232;234;406;408,Volume of a prism (manual) | Volume of a cylinder (manual) | Surface area of a cuboid and prisms (0.29) | Surface area of a cylinder (0.28) | Surface area of a cone or sphere/hemisphere (0.23) | Surface area of more complex compound 3D shapes (0.25)
GCSE Foundation,9 Graphs,Coordinates,83;152,"Coordinates in the first quadrant (manual) | Coordinates in all four quadrants (orphan, 0.12)"
GCSE Foundation,9 Graphs,Linear graphs,114;267;332,Interpreting and presenting data in simple graphs (manual) | Plotting a straight line from a table of values (manual) | Real-life linear graphs (0.18)
GCSE Foundation,9 Graphs,Gradient,270,Gradient of a line (0.14)
GCSE Foundation,9 Graphs,y = mx + c,271;273,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax+by=c) (manual) | Drawing a line from its equation (0.14)
GCSE Foundation,9 Graphs,Real-life graphs,114;332,Interpreting and presenting data in simple graphs (manual) | Real-life linear graphs (0.28)
