Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),,
766,138f,138,2,No,A square has an area of 64cm². Find its perimeter.,32cm,16cm,24cm,Side length=√64=8cm. Perimeter=4x8=32cm.,"Find the side length first using the area, then calculate the perimeter.",,,,,,,
767,138g,138,3,No,A rectangle is 12cm × 8cm. How many 4cm × 4cm rectangles tile it exactly?,6,3,12,Area of large rectangle=96cm². Area of small rectangle=16cm². Number needed=96÷16=6.,Divide the total area by the area of one small rectangle.,,,,,,,
768,138h,138,3,No,A rectangle has a perimeter of 34cm and a width of 7cm. Find its area.,70cm²,34cm²,140cm²,"Half the perimeter=17cm, so length=17-7=10cm. Area=10x7=70cm².","Find the missing side from the perimeter first, then calculate the area.",,,,,,,
769,138h,138,3,No,A square has a perimeter of 28cm. Find its area.,49cm²,28cm²,56cm²,Side length=28÷4=7cm. Area=7x7=49cm².,"Find the side length from the perimeter first, then calculate the area.",,,,,,,
770,138i,138,3,No,Carpet costs £8 per m². Find the cost of carpeting a room measuring 4m by 3m.,£96,£56,£84,Area=4x3=12m². Cost=12x£8=£96.,"Find the area first, then multiply by the cost per m².",,,,,,,
771,139a,139,1,No,Find the area of a parallelogram with base 10cm and height 5cm.,50cm²,30cm²,15cm²,Area = base x height = 10x5=50cm².,Multiply the base by the perpendicular height.,,,,,,,
772,139a,139,3,No,Find the area of a parallelogram with base 12cm and height 6cm.,72cm²,36cm²,18cm²,Area = base x height = 12x6=72cm².,Multiply the base by the perpendicular height.,,,,,,,
773,139a,139,3,No,Find the area of a parallelogram with base 15cm and height 8cm.,120cm²,60cm²,23cm²,Area = base x height = 15x8=120cm².,Multiply the base by the perpendicular height.,,,,,,,
774,139a,139,1,No,Find the area of a parallelogram with base 6cm and height 4cm.,24cm²,20cm²,10cm²,Area = base x height = 6x4=24cm².,Multiply the base by the perpendicular height.,,,,,,,
775,139a,139,2,No,Find the area of a parallelogram with base 7cm and height 9cm.,63cm²,32cm²,16cm²,Area = base x height = 7x9=63cm².,Multiply the base by the perpendicular height.,,,,,,,
776,139c,139,3,No,A parallelogram has an area of 136cm² and a height of 8cm. Find its base.,17cm,128cm,144cm,Base = area ÷ height = 136÷8=17cm.,Divide the area by the height.,,,,,,,
777,139c,139,1,No,A parallelogram has an area of 40cm² and a height of 8cm. Find its base.,5cm,32cm,48cm,Base = area ÷ height = 40÷8=5cm.,Divide the area by the height.,,,,,,,
778,139c,139,2,No,A parallelogram has an area of 72cm² and a height of 8cm. Find its base.,9cm,64cm,80cm,Base = area ÷ height = 72÷8=9cm.,Divide the area by the height.,,,,,,,
779,139c,139,3,No,A parallelogram has an area of 96cm² and a base of 12cm. Find its height.,8cm,84cm,108cm,Height = area ÷ base = 96÷12=8cm.,Divide the area by the base.,,,,,,,
780,139c,139,2,No,A parallelogram has an area of 54cm² and a base of 9cm. Find its height.,6cm,45cm,63cm,Height = area ÷ base = 54÷9=6cm.,Divide the area by the base.,,,,,,,
781,139d,139,2,No,A parallelogram has base 14cm and perpendicular height 5cm. Find its area.,70cm²,140cm²,36cm²,Area = base x height = 14x5=70cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,,
782,139d,139,3,No,A parallelogram has base 18cm and perpendicular height 7cm. Find its area.,126cm²,234cm²,57cm²,Area = base x height = 18x7=126cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,,
783,139d,139,2,No,A parallelogram has base 11cm and perpendicular height 6cm. Find its area.,66cm²,99cm²,34cm²,Area = base x height = 11x6=66cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,,
784,139d,139,1,No,A parallelogram has base 8cm and perpendicular height 5cm. Find its area.,40cm²,56cm²,20cm²,Area = base x height = 8x5=40cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,,
785,139d,139,1,No,A parallelogram has base 9cm and perpendicular height 4cm. Find its area.,36cm²,54cm²,19cm²,Area = base x height = 9x4=36cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,,
786,140a,140,1,No,Find the area of a triangle with base 10cm and height 4cm.,20cm²,40cm²,14cm²,Area = 0.5 x base x height = 0.5x10x4=20cm².,"Multiply the base by the height, then halve it.",,,,,,,
787,140a,140,2,No,Find the area of a triangle with base 12cm and height 9cm.,54cm²,108cm²,21cm²,Area = 0.5 x base x height = 0.5x12x9=54cm².,"Multiply the base by the height, then halve it.",,,,,,,
788,140a,140,3,No,Find the area of a triangle with base 14cm and height 5cm.,35cm²,70cm²,19cm²,Area = 0.5 x base x height = 0.5x14x5=35cm².,"Multiply the base by the height, then halve it.",,,,,,,
789,140a,140,3,No,Find the area of a triangle with base 16cm and height 7cm.,56cm²,112cm²,23cm²,Area = 0.5 x base x height = 0.5x16x7=56cm².,"Multiply the base by the height, then halve it.",,,,,,,
790,140a,140,1,No,Find the area of a triangle with base 8cm and height 6cm.,24cm²,48cm²,14cm²,Area = 0.5 x base x height = 0.5x8x6=24cm².,"Multiply the base by the height, then halve it.",,,,,,,
791,140b,140,3,No,A triangle has an area of 90cm² and a height of 10cm. Find its base.,18cm,9cm,900cm,Base = (2 x area) ÷ height = (2x90)÷10=18cm.,"Double the area first, then divide by the height.",,,,,,,
792,140b,140,1,No,A triangle has an area of 30cm² and a height of 6cm. Find its base.,10cm,5cm,180cm,Base = (2 x area) ÷ height = (2x30)÷6=10cm.,"Double the area first, then divide by the height.",,,,,,,
793,140b,140,2,No,A triangle has an area of 42cm² and a height of 7cm. Find its base.,12cm,6cm,294cm,Base = (2 x area) ÷ height = (2x42)÷7=12cm.,"Double the area first, then divide by the height.",,,,,,,
794,140b,140,2,No,A triangle has an area of 48cm² and a base of 8cm. Find its height.,12cm,6cm,384cm,Height = (2 x area) ÷ base = (2x48)÷8=12cm.,"Double the area first, then divide by the base.",,,,,,,
795,140b,140,3,No,A triangle has an area of 63cm² and a base of 9cm. Find its height.,14cm,7cm,567cm,Height = (2 x area) ÷ base = (2x63)÷9=14cm.,"Double the area first, then divide by the base.",,,,,,,
796,140c,140,1,No,"A triangle has a base of 10cm, a height of 6cm, and a third side of 12cm. Find its area.",30cm²,60cm²,36cm²,Area = 0.5 x base x height = 0.5x10x6=30cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,,
797,140c,140,1,No,"A triangle has a base of 14cm, a height of 5cm, and a third side of 15cm. Find its area.",35cm²,70cm²,19cm²,Area = 0.5 x base x height = 0.5x14x5=35cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,,
798,140c,140,2,No,"A triangle has a base of 16cm, a height of 6cm, and a third side of 17cm. Find its area.",48cm²,96cm²,38cm²,Area = 0.5 x base x height = 0.5x16x6=48cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,,
799,140c,140,3,No,"A triangle has a base of 20cm, a height of 9cm, and a third side of 22cm. Find its area.",90cm²,180cm²,71cm²,Area = 0.5 x base x height = 0.5x20x9=90cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,,
800,140c,140,2,No,"A triangle has a base of 9cm, a height of 8cm, and a third side of 12cm. Find its area.",36cm²,72cm²,29cm²,Area = 0.5 x base x height = 0.5x9x8=36cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,,
801,141a,141,1,No,"What is the name for the distance across a circle, passing through its centre?",Diameter,Radius,Circumference,The diameter passes through the centre from one side to the other.,Think about which measurement passes through the middle.,,,,,,,
802,141a,141,2,No,What is the name for the distance all the way around the outside of a circle?,Circumference,Diameter,Radius,The circumference is the perimeter of a circle.,Think about the word used for a circle's perimeter.,,,,,,,
803,141a,141,1,No,What is the name for the distance from the centre of a circle to its edge?,Radius,Diameter,Circumference,The radius goes from the centre to the edge.,Think about which measurement starts at the middle.,,,,,,,
804,141a,141,3,No,Which term describes the curved boundary line that forms the edge of a circle?,Circumference,Diameter,Radius,The circumference is the curved line forming the circle's edge.,This is also the word for a circle's perimeter.,,,,,,,
805,141b,141,3,No,The radius of a circle is 6.5cm. Find the diameter.,13cm,3.25cm,8.5cm,Diameter = radius x 2 = 6.5x2=13cm.,The diameter is double the radius.,,,,,,,
806,141b,141,2,No,The radius of a circle is 9cm. Find the diameter.,18cm,4.5cm,11cm,Diameter = radius x 2 = 9x2=18cm.,The diameter is double the radius.,,,,,,,
807,141b,141,1,No,The diameter of a circle is 14cm. Find the radius.,7cm,28cm,21cm,Radius = diameter ÷ 2 = 14÷2=7cm.,The radius is half the diameter.,,,,,,,
808,141b,141,2,No,The diameter of a circle is 25cm. Find the radius.,12.5cm,50cm,23cm,Radius = diameter ÷ 2 = 25÷2=12.5cm.,The radius is half the diameter.,,,,,,,
809,141c,141,3,No,How many quarter circles are needed to make one full semicircle?,2,4,1,"A semicircle is half a circle, and a quarter circle is a quarter, so 2 quarter circles make a semicircle.","Work out what fraction of a full circle a semicircle is, then compare to a quarter.",,,,,,,
810,141c,141,3,No,Two semicircles are joined together along their straight edges. What shape do they form?,A circle,A semicircle,An oval,Two semicircles joined along their straight edges form a full circle.,Think about what happens when you combine two halves.,,,,,,,
811,141c,141,2,No,A circle is cut into 4 equal parts through its centre. What is each part called?,Quarter circle,Semicircle,Sector,A quarter of a circle is called a quarter circle.,Think about what a quarter means.,,,,,,,
812,141c,141,1,No,A circle is cut exactly in half through its centre. What is each half called?,Semicircle,Quarter circle,Sector,Half of a circle is called a semicircle.,Semi means half.,,,,,,,
813,142a,142,3,No,A 3D shape has a circular cross-section that decreases to a point. Name the shape.,Cone,Cylinder,Sphere,"A shape with a circular base narrowing to a point is a cone (not a prism, since the cross-section changes).",Think about whether the cross-section stays the same size.,,,,,,,
814,142a,142,3,No,A 3D shape has two identical hexagonal faces joined by rectangles. Name the shape.,Hexagonal prism,Hexagonal pyramid,Cylinder,Two identical hexagonal faces connected by rectangles describe a hexagonal prism.,Think about what shape the two identical end faces are.,,,,,,,
815,142a,142,2,No,Name a 3D shape with a rectangular cross-section that stays constant along its length.,Cuboid,Cube,Pyramid,"A shape with a constant rectangular cross-section is a cuboid, also called a rectangular prism.",A prism has the same cross-section all the way through.,,,,,,,
816,142a,142,1,No,Name a 3D shape with a triangular cross-section that stays constant along its length.,Triangular prism,Cone,Tetrahedron,A shape with a constant triangular cross-section is a triangular prism.,A prism has the same cross-section all the way through.,,,,,,,
817,142a,142,2,No,Name a 3D shape with a pentagonal cross-section that stays constant along its length.,Pentagonal prism,Pentagon,Pentagonal pyramid,A shape with a constant pentagonal cross-section is a pentagonal prism.,A prism has the same cross-section all the way through.,,,,,,,
818,142a,142,1,No,Name a 3D shape that has a circular cross-section and one curved surface.,Cylinder,Cone,Sphere,A cylinder has two circular faces and one curved surface.,Think of a can shape.,,,,,,,
819,142b,142,2,No,How many edges does a triangular prism have?,9,6,12,A triangular prism has 9 edges: 3 on each triangular face and 3 connecting them.,"Count the edges of both triangular faces, plus the edges joining them.",,,,,,,
820,142b,142,3,No,How many edges does a pentagonal prism have?,15,10,12,"A pentagonal prism has 5 edges on each pentagonal face (10 total) plus 5 connecting edges, totalling 15.","Count the edges of both pentagonal faces, plus the edges joining them.",,,,,,,
821,142b,142,1,No,How many triangular faces does a triangular prism have?,2,3,1,A triangular prism has 2 triangular faces at each end.,"Count only the two end faces, not the rectangular sides.",,,,,,,
822,142b,142,3,No,How many faces does a pentagonal prism have?,7,5,10,"A pentagonal prism has 2 pentagonal faces and 5 rectangular faces, totalling 7.",Count the two end faces plus the rectangular side faces.,,,,,,,
823,142b,142,1,No,How many rectangular faces does a triangular prism have?,3,2,5,A triangular prism has 2 triangular faces and 3 rectangular faces.,"Count the flat side faces, not the two triangular ends.",,,,,,,
824,142b,142,3,No,A hexagonal prism has how many rectangular faces?,6,2,8,A hexagonal prism has 2 hexagonal faces and 6 rectangular faces.,Count the side faces connecting the two hexagonal ends.,,,,,,,
825,142b,142,2,No,What shape is the cross-section of a cylinder?,Circle,Rectangle,Oval,A cylinder's cross-section (cut perpendicular to its length) is a circle.,Think about slicing straight across the shape.,,,,,,,
826,142b,142,2,No,How many vertices does a triangular prism have?,6,5,8,A triangular prism has 6 vertices: 3 on each triangular face.,Count the corners of both triangular faces.,,,,,,,
827,142b,142,1,No,How many faces does a cuboid have in total?,6,8,4,"A cuboid has 6 faces: top, bottom and 4 sides.","Count top, bottom, and all the side faces.",,,,,,,
828,143a,143,3,No,A net is made of 1 square and 4 triangles. What 3D shape does it fold into?,Square-based pyramid,Cube,Triangular prism,A square base with 4 triangular sides folds into a square-based pyramid.,The base shape plus the number of triangular sides identifies the pyramid.,,,,,,,
829,143a,143,3,No,A net is made of 2 circles and 1 curved rectangle. What 3D shape does it fold into?,Cylinder,Cone,Sphere,2 circles plus a curved rectangular face fold into a cylinder.,"Circles for the ends, plus a curved side, describes this shape.",,,,,,,
830,143a,143,2,No,A net is made of 2 triangles and 3 rectangles. What 3D shape does it fold into?,Triangular prism,Square pyramid,Cuboid,2 triangular faces plus 3 rectangular faces fold into a triangular prism.,The two matching end faces tell you the cross-section shape.,,,,,,,
831,143a,143,1,No,A net is made of 6 identical squares. What 3D shape does it fold into?,Cube,Cuboid,Square pyramid,6 identical squares fold into a cube.,Count the faces and check if they're all identical squares.,,,,,,,
832,143b,143,2,No,"Which net folds into a square-based pyramid: 1 square and 4 triangles, or 2 squares and 4 rectangles?",1 square and 4 triangles,2 squares and 4 rectangles,Neither,A square-based pyramid has 1 square base and 4 triangular sides.,Count the number and shape of faces the 3D shape has.,,,,,,,
833,143b,143,3,No,"Which net folds into a cylinder: 2 circles and a curved rectangle, or 1 circle and a triangle?",2 circles and a curved rectangle,1 circle and a triangle,Neither,A cylinder has 2 circular faces and one curved rectangular face.,Count the number and shape of faces the 3D shape has.,,,,,,,
834,143b,143,2,No,"Which net folds into a triangular prism: 2 triangles and 3 rectangles, or 6 squares?",2 triangles and 3 rectangles,6 squares,Neither,A triangular prism has 2 triangular faces and 3 rectangular faces.,Count the number and shape of faces the 3D shape has.,,,,,,,
835,143b,143,1,No,"Which net folds into a cube: 6 squares, or 4 triangles and 1 square?",6 squares,4 triangles and 1 square,Neither,"A cube has 6 identical square faces, so its net is made of 6 squares.",Count the number and shape of faces the 3D shape has.,,,,,,,
836,143c,143,3,No,"A net has 1 square and 4 triangles, forming a square-based pyramid. How many edges does it have?",8,5,4,"A square-based pyramid has 4 edges around the square base plus 4 edges going up to the apex, totalling 8.","Count the edges of the base shape, then add the edges going up to the point.",,,,,,,
837,143c,143,1,No,A cube has 6 identical square faces. How many faces does it have?,6,8,12,"The net has 6 squares, so the cube has 6 faces.",Count the number of separate pieces in the net.,,,,,,,
838,143c,143,2,No,"A net has 2 triangles and 3 rectangles, forming a triangular prism. How many faces does it have?",5,6,9,2 triangular faces plus 3 rectangular faces gives 5 faces in total.,Add up the number of pieces in the net.,,,,,,,
839,143c,143,3,No,"A net has 2 pentagons and 5 rectangles, forming a pentagonal prism. How many faces does it have?",7,5,10,2 pentagonal faces plus 5 rectangular faces gives 7 faces in total.,Add up the number of pieces in the net.,,,,,,,
840,145a,145,3,No,"A cuboid has a volume of 210cm³, a length of 7cm, and a width of 6cm. Find its height.",5cm,35cm,1260cm,Height = volume ÷ (length x width) = 210÷(7x6)=210÷42=5cm.,Divide the volume by the product of the two known sides.,,,,,,,
841,145a,145,1,No,"Find the volume of a cuboid with length 4cm, width 3cm, height 2cm.",24cm³,9cm²,18cm³,Volume = length x width x height = 4x3x2=24cm³.,Multiply all three dimensions together.,,,,,,,
842,145a,145,2,No,"Find the volume of a cuboid with length 6cm, width 5cm, height 4cm.",120cm³,15cm²,96cm³,Volume = length x width x height = 6x5x4=120cm³.,Multiply all three dimensions together.,,,,,,,
843,145a,145,3,No,"Find the volume of a cuboid with length 8cm, width 7cm, height 3cm.",168cm³,18cm²,144cm³,Volume = length x width x height = 8x7x3=168cm³.,Multiply all three dimensions together.,,,,,,,
844,145b,145,1,No,Find the volume of a cube with side length 3cm.,27cm³,9cm²,18cm³,Volume = side x side x side = 3x3x3=27cm³.,Multiply the side length by itself three times.,,,,,,,
845,145b,145,2,No,Find the volume of a cube with side length 5cm.,125cm³,25cm²,75cm³,Volume = side x side x side = 5x5x5=125cm³.,Multiply the side length by itself three times.,,,,,,,
846,145b,145,3,No,A cube has a volume of 216cm³. Find its side length.,6cm,36cm,72cm,The side length is the cube root of the volume: ∛216=6cm.,Find the cube root of the volume.,,,,,,,
847,145b,145,2,No,A cube has a volume of 64cm³. Find its side length.,4cm,8cm,21.3cm,The side length is the cube root of the volume: ∛64=4cm.,Find the cube root of the volume.,,,,,,,
848,145c,145,1,No,"A cuboid has faces 5×3, 5×2 and 3×2 cm, two of each. Find its volume.",30cm³,10cm²,60cm³,"The three edge lengths are 5cm, 3cm and 2cm. Volume = 5x3x2=30cm³.","Identify the three different edge lengths from the face dimensions, then multiply them together.",,,,,,,
849,145c,145,2,No,"A cuboid has faces 6×4, 6×3 and 4×3 cm, two of each. Find its volume.",72cm³,13cm²,144cm³,"The three edge lengths are 6cm, 4cm and 3cm. Volume = 6x4x3=72cm³.","Identify the three different edge lengths from the face dimensions, then multiply them together.",,,,,,,
850,145c,145,3,No,A cube has square faces measuring 7cm × 7cm. Find its volume.,343cm³,49cm²,294cm³,The edge length is 7cm. Volume = 7x7x7=343cm³.,"Use the square's side length as the cube's edge, then multiply it by itself three times.",,,,,,,
851,146a,146,1,No,Name the Platonic solid made of 6 identical squares.,Cube,Octahedron,Dodecahedron,6 identical square faces describe a cube.,Think about the shape with square faces.,,,,,,,
852,146a,146,1,No,How many Platonic solids are there in total?,5,4,6,There are exactly 5 Platonic solids.,"This is a fixed, well-known number.",,,,,,,
853,146a,146,3,No,Name the Platonic solid made of 12 identical regular pentagons.,Dodecahedron,Icosahedron,Octahedron,12 identical pentagonal faces describe a dodecahedron.,Dodeca means twelve.,,,,,,,
854,146a,146,3,No,Name the Platonic solid made of 20 identical equilateral triangles.,Icosahedron,Dodecahedron,Octahedron,20 identical triangular faces describe an icosahedron.,Icosa means twenty.,,,,,,,
855,146a,146,2,No,Name the Platonic solid made of 4 identical equilateral triangles.,Tetrahedron,Octahedron,Icosahedron,4 identical triangular faces describe a tetrahedron.,Tetra means four.,,,,,,,
856,146a,146,2,No,Name the Platonic solid made of 8 identical equilateral triangles.,Octahedron,Tetrahedron,Icosahedron,8 identical triangular faces describe an octahedron.,Octa means eight.,,,,,,,
857,146b,146,2,No,How many edges does a cube have?,12,8,6,A cube has 12 edges.,"Count the edges along each of the 6 faces, remembering each edge is shared by 2 faces.",,,,,,,
858,146b,146,3,No,How many edges does a dodecahedron have?,30,12,20,"A dodecahedron has 12 faces, 30 edges, and 20 vertices.",This shape has the same number of edges as an icosahedron.,,,,,,,
859,146b,146,3,No,How many vertices does an icosahedron have?,12,20,30,"An icosahedron has 20 faces, 30 edges, and 12 vertices.",This shape has fewer vertices than faces.,,,,,,,
860,146b,146,1,No,How many vertices does a cube have?,8,6,12,A cube has 8 corners (vertices).,Count the corners of the shape.,,,,,,,
861,146b,146,1,No,How many faces does a tetrahedron have?,4,6,8,A tetrahedron has 4 triangular faces.,Tetra means four.,,,,,,,
862,146b,146,2,No,How many faces does an octahedron have?,8,6,4,An octahedron has 8 triangular faces.,Octa means eight.,,,,,,,
863,147a,147,3,No,Two straight lines cross. An angle is (2x+10)° and its vertically opposite angle is 70°. Find x.,30,70,40,"Vertically opposite angles are equal, so 2x+10=70, giving 2x=60, so x=30.","Set the two vertically opposite expressions equal to each other, then solve.",,,,,,,
864,147a,147,3,No,Two straight lines cross: one angle is 5x° and its vertically opposite angle is 125°. Find x.,25,125,625,"Vertically opposite angles are equal, so 5x=125, giving x=25.","Set the two vertically opposite expressions equal to each other, then solve.",,,,,,,
865,147a,147,2,No,Two straight lines cross: one angle is 3x° and its vertically opposite angle is 45°. Find x.,15,45,135,"Vertically opposite angles are equal, so 3x=45, giving x=15.","Set the two vertically opposite expressions equal to each other, then solve.",,,,,,,
866,147a,147,1,No,Two straight lines cross. One angle is 115°. Find the angle vertically opposite it.,115°,65°,75°,"Vertically opposite angles are always equal, so the answer is 115°.",Vertically opposite angles are equal.,,,,,,,
867,147a,147,1,No,Two straight lines cross. One angle is 40°. Find the angle vertically opposite it.,40°,140°,50°,"Vertically opposite angles are always equal, so the answer is 40°.",Vertically opposite angles are equal.,,,,,,,
868,147a,147,2,No,Two straight lines cross. One angle is 82°. Find the angle vertically opposite it.,82°,98°,41°,"Vertically opposite angles are always equal, so the answer is 82°.",Vertically opposite angles are equal.,,,,,,,
869,147b,147,1,No,Two straight lines cross. a = 55°. b is vertically opposite a and c is adjacent to b. Find c.,125°,55°,145°,b=a=55° (vertically opposite). c=180-55=125° (angles on a straight line).,"Find the vertically opposite angle first, then use the straight line to find the next one.",,,,,,,
870,147b,147,1,No,Two straight lines cross. a = 100°. b is vertically opposite a and c is adjacent to b. Find c.,80°,100°,260°,b=a=100° (vertically opposite). c=180-100=80° (angles on a straight line).,"Find the vertically opposite angle first, then use the straight line to find the next one.",,,,,,,
871,147b,147,3,No,Two straight lines cross: one angle is 3x° and its vertically opposite angle is (2x+20)°. Find x.,20,60,80,"Vertically opposite angles are equal, so 3x=2x+20, giving x=20.","Set the two vertically opposite expressions equal to each other, then solve.",,,,,,,
872,147b,147,3,No,Four angles meet at a point. Two vertically opposite angles are 70°; the other two are equal. Find one of the other angles.,110°,140°,220°,The two known angles total 140°. The remaining 220° is split equally between the other two: 220÷2=110°.,"Subtract the known angles from 360°, then halve what's left.",,,,,,,
873,147b,147,2,No,"Three angles around a point are 110°, 95°, and x. Find x.",155°,205°,65°,Angles around a point sum to 360°: 360-110-95=155°.,Angles around a point always add up to 360°.,,,,,,,
874,147b,147,2,No,"Three angles meet at a point: 90°, 130°, and x. Find x.",140°,220°,40°,Angles around a point sum to 360°: 360-90-130=140°.,Angles around a point always add up to 360°.,,,,,,,
875,148a,148,3,No,A triangle has sides 5cm and 12cm. Find the range of possible lengths for the third side.,Between 7cm and 17cm,Between 0cm and 17cm,Between 5cm and 12cm,The third side must be between 12-5=7 and 12+5=17.,"The third side must be less than the sum, and more than the difference, of the other two.",,,,,,,
876,148a,148,3,No,A triangle has two sides of 6cm. Find the range of possible lengths for the third side.,Between 0cm and 12cm,Between 6cm and 12cm,Between 0cm and 6cm,The third side must be between 6-6=0 and 6+6=12.,"The third side must be less than the sum, and more than the difference, of the other two.",,,,,,,
877,148a,148,2,No,"A triangle has sides 7cm and 9cm. Which could be the third side: 1cm, 15cm or 20cm?",15cm,1cm,20cm,The third side must be between 9-7=2 and 9+7=16. Only 15cm fits.,"The third side must be less than the sum, and more than the difference, of the other two.",,,,,,,
878,148a,148,1,No,"A triangle has sides 5cm and 8cm. Which could be the third side: 2cm, 3cm or 10cm?",10cm,2cm,3cm,The third side must be between 8-5=3 and 8+5=13. Only 10cm fits.,"The third side must be less than the sum, and more than the difference, of the other two.",,,,,,,
879,148a,148,1,No,"A triangle has sides 4cm and 6cm. Which could be the third side: 1cm, 2cm or 5cm?",5cm,1cm,2cm,The third side must be between 6-4=2 and 6+4=10. Only 5cm fits.,"The third side must be less than the sum, and more than the difference, of the other two.",,,,,,,
880,148a,148,2,No,"Can a triangle have sides of length 3cm, 4cm, and 8cm?",No,Yes,Only if it's a right triangle,"3+4=7, which is less than 8, so these lengths cannot form a triangle.",Check whether the two shorter sides add up to more than the longest side.,,,,,,,
881,148b,148,3,No,"Triangle ABC has angles 50°, 70° and 60°. Order the sides from shortest to longest.","BC, AB, CA","CA, AB, BC","AB, BC, CA","Angles in order: A(50°)<C(60°)<B(70°). Sides opposite: BC (shortest), AB, CA (longest).","Order the angles first, then match each to its opposite side.",,,,,,,
882,148b,148,2,No,"Triangle ABC has sides AB=10cm, BC=6cm, CA=8cm. Which angle is the smallest: A, B, or C?",A,B,C,"The smallest angle is opposite the shortest side. The shortest side is BC (6cm), which is opposite angle A.",The shortest side is opposite the smallest angle.,,,,,,,
883,148b,148,3,No,"Triangle ABC has sides AB=8cm, BC=8cm, CA=5cm. Which angle is the smallest: A, B, or C?",B,A,C,"The smallest angle is opposite the shortest side. The shortest side is CA (5cm), which is opposite angle B.",The shortest side is opposite the smallest angle.,,,,,,,
884,148b,148,1,No,"Triangle ABC has angles 40°, 60° and 80°. Which side is longest: AB, BC or CA?",AB,BC,CA,"The longest side is opposite the largest angle. The largest angle is C (80°), and the side opposite it is AB.",The largest angle is opposite the longest side.,,,,,,,
885,148b,148,1,No,"Triangle ABC has angles 90°, 45° and 45°. Which side is longest: AB, BC or CA?",BC,AB,CA,"The longest side is opposite the largest angle. The largest angle is A (90°), and the side opposite it is BC.",The largest angle is opposite the longest side.,,,,,,,
886,148b,148,2,No,"Triangle ABC has sides AB=5cm, BC=7cm, CA=9cm. Which angle is the largest: A, B, or C?",B,A,C,"The largest angle is opposite the longest side. The longest side is CA (9cm), which is opposite angle B.",The longest side is opposite the largest angle.,,,,,,,
887,149a,149,2,No,"A triangle has angles 2x, 3x, and 4x. Find x.",20,9,180,"The angles sum to 180°: 2x+3x+4x=9x=180, so x=20.","Add up all the parts in terms of x, then solve.",,,,,,,
888,149a,149,1,No,A triangle has angles 50° and 65°. Find the third angle.,65°,115°,45°,Angles in a triangle sum to 180°: 180-50-65=65°.,Angles in a triangle always add up to 180°.,,,,,,,
889,149a,149,1,No,A triangle has angles 90° and 35°. Find the third angle.,55°,125°,45°,Angles in a triangle sum to 180°: 180-90-35=55°.,Angles in a triangle always add up to 180°.,,,,,,,
890,149b,149,1,No,Find the interior angle of an equilateral triangle.,60°,90°,45°,All three angles are equal and sum to 180°: 180÷3=60°.,All angles in an equilateral triangle are equal.,,,,,,,
891,149b,149,2,No,An equilateral triangle has one angle labelled 3x. Find x.,20,60,3,"Each angle in an equilateral triangle is 60°: 3x=60, so x=20.",Each angle in an equilateral triangle is 60°.,,,,,,,
892,149c,149,1,No,A triangle has angles 50° and 70°. One side is extended at the third vertex. Find the exterior angle.,120°,60°,110°,The exterior angle equals the sum of the two non-adjacent interior angles: 50+70=120°.,The exterior angle equals the sum of the two angles not next to it.,,,,,,,
893,149c,149,2,No,A triangle has angles 40° and 95°. Find the exterior angle at the third vertex.,135°,45°,85°,The exterior angle equals the sum of the two non-adjacent interior angles: 40+95=135°.,The exterior angle equals the sum of the two angles not next to it.,,,,,,,
894,149d,149,1,No,A triangle has angle 72° at A. Both sides at A are extended. Find the angle between the extensions.,72°,108°,36°,"The angle between the extended sides is vertically opposite the interior angle, so it is also 72°.",Vertically opposite angles are equal.,,,,,,,
895,149d,149,2,No,"A triangle has angle 3x at A. Both sides at A are extended, forming 51° between them. Find x.",17,51,153,"The angle between the extended sides is vertically opposite the interior angle: 3x=51, so x=17.",Vertically opposite angles are equal.,,,,,,,
896,149e,149,3,No,"A triangle has angles 55° and 65°. Its third angle, 100° and z lie on a straight line. Find z.",20°,160°,80°,"The third triangle angle is 180-55-65=60°. Angles on a straight line sum to 180°: 60+100+z=180, so z=20°.","Find the missing triangle angle first, then use the fact that angles on a straight line sum to 180°.",,,,,,,
897,149e,149,1,No,"A triangle has angles 50° and 70°. Its third angle, 120° and x meet at a point. Find x.",180°,60°,240°,"The third triangle angle is 180-50-70=60°. Angles around a point sum to 360°: 60+120+x=360, so x=180°.","Find the missing triangle angle first, then use the fact that angles around a point sum to 360°.",,,,,,,
